fry,class
d364,TRANSCRIPTION
d365,BINDING PROTEIN
d366,TRANSFERASE
d367,CELL CYCLE
d368,HALOPEROXIDASE
d369,OXIDOREDUCTASE
d370,TRANSFERASE
d371,ISOMERASE
d372,HYDROLASE
d373,TRANSCRIPTION REGULATOR
d374,HYDROLASE/HYDROLASE INHIBITOR
d375,VIRAL PROTEIN
d376,TRANSFERASE
d377,APOPTOSIS
d378,HYDROLASE
d379,HYDROLASE/HYDROLASE INHIBITOR
d380,Transferase/unknown function
d381,OXIDOREDUCTASE/OXIDOREDUCTASE INHIBITOR
d382,HYDROLASE
d383,VIRAL PROTEIN/RNA
d384,IMMUNE SYSTEM
d385,TRANSFERASE
d386,PROTEIN FIBRIL
d387,OXYGEN TRANSPORT
d388,HYDROLASE
d389,HYDROLASE
d390,TOXIN INHIBITOR
d391,TRANSPORT PROTEIN
d392,OXIDOREDUCTASE
d393,IMMUNE SYSTEM
d394,TRANSFERASE
d395,IMMUNE SYSTEM
d396,TRANSFERASE
d397,MOTOR PROTEIN
d398,OXIDOREDUCTASE
d399,TRANSLATION
d400,TRANSFERASE
d401,LIGASE
d402,VIRAL PROTEIN
d403,OXIDOREDUCTASE
d404,TRANSFERASE
d405,HYDROLASE
d406,HYDROLASE
d407,LYASE
d408,DE NOVO PROTEIN
d409,OXIDOREDUCTASE
d410,DE NOVO PROTEIN
d411,HYDROLASE INHIBITOR
d412,HYDROLASE
d413,HYDROLASE
d414,Transferase/Protein binding
d415,PROTEIN BINDING
d416,ELECTRON TRANSPORT
d417,PROTEIN BINDING
d418,TRANSFERASE
d419,HYDROLASE
d420,TRANSFERASE
d421,HYDROLASE
d422,STRUCTURAL GENOMICS
d423,RIBOSOMAL PROTEIN
d424,VIRAL PROTEIN
d425,TRANSFERASE
d426,TRANSFERASE
d427,ISOMERASE
d428,IMMUNOGLOBULIN
d429,LIGASE
d430,SERINE PROTEASE INHIBITOR
d431,MEMBRANE PROTEIN
d432,HYDROLASE
d433,ANTIMICROBIAL PROTEIN
d434,TRANSFERASE
d435,TRANSFERASE/DNA
d436,OXIDOREDUCTASE
d437,OXIDOREDUCTASE(H2O2(A))
d438,TRANSFERASE
d439,ENDOCYTOSIS/REGULATOR
d440,GENE REGULATION
d441,RNA
d442,PROTEIN BINDING
d443,HYDROLASE
d444,ISOMERASE
d445,TRANSCRIPTION
d446,STRUCTURAL GENOMICS
d447,SIGNALING PROTEIN/TRANSFERASE
d448,TRANSFERASE
d449,HORMONE RECEPTOR/HORMONE ACTIVATOR
d450,MEMBRANE PROTEIN
d451,ELECTRON TRANSPORT
d452,OXIDOREDUCTASE
d453,VIRUS
d454,LYASE
d455,ELECTRON TRANSPORT
d456,OXIDOREDUCTASE
d457,ELECTRON TRANSPORT
d458,DNA BINDING PROTEIN
d459,LIGASE
d460,OXIDOREDUCTASE
d461,OXIDOREDUCTASE
d462,OXIDOREDUCTASE
d463,TRANSFERASE
d464,LIPID TRANSPORT
d465,HYDROLASE
d466,TRANSFERASE/TRANSFERASE INHIBITOR
d467,LIGASE
d468,MEMBRANE PROTEIN
d469,RNA
d470,TRANSFERASE
d471,TRANSFERASE
d472,TRANSFERASE
d473,VIRAL PROTEIN
d474,LIPID BINDING PROTEIN
d475,STRUCTURAL GENOMICS
d476,Structural Genomics
d477,RNA
d478,STRESS PROTEIN/LIPOCALIN
d479,DNA
d480,CHAPERONE
d481,TRANSFERASE
d482,HYDROLASE
d483,TRANSFERASE
d484,OXIDOREDUCTASE
d485,ISOMERASE
d486,LIPID BINDING PROTEIN
d487,RNA
d488,HYDROLASE
d489,SIGNALING PROTEIN/RECEPTOR
d490,TRANSFERASE
d491,DNA
d492,TRANSFERASE
d493,Structural genomics
d494,DE NOVO PROTEIN
d495,STRUCTURAL PROTEIN
d496,HYDROLASE
d497,TRANSFERASE
d498,HYDROLASE
d499,IMMUNE SYSTEM
d500,TRANSPORT PROTEIN
d501,NEUROTOXIN
d502,FLUORESCENT PROTEIN
d503,LYASE
d504,TRANSFERASE
d505,TRANSCRIPTION
d506,DE NOVO PROTEIN
d507,TRANSFERASE/TRANSFERASE INHIBITOR
d508,RNA
d509,LIGASE
d510,TRANSFERASE
d511,HYDROLASE/HYDROLASE INHIBITOR
d512,STRUCTURAL GENOMICS
d513,CELL ADHESION
d514,OXIDOREDUCTASE
d515,STRUCTURAL GENOMICS
d516,OXIDOREDUCTASE/OXIDOREDUCTASE INHIBITOR
d517,OXIDOREDUCTASE
d518,HYDROLASE
d519,TRANSFERASE
d520,HYDROLASE
d521,LUMINESCENT PROTEIN
d522,OXIDOREDUCTASE
d523,HYDROLASE
d524,ANTIMICROBIAL PROTEIN
d525,SUGAR BINDING PROTEIN
d526,RNA
d527,HYDROLASE
d528,TRANSLATION
d529,RNA binding protein/RNA
d530,TRANSPORT PROTEIN
d531,Structural Genomics
d532,TRANSPORT PROTEIN
d533,IMMUNE SYSTEM
d534,HYDROLASE
d535,PROTEIN BINDING
d536,TRANSFERASE/TRANSFERASE INHIBITOR
d537,HYDROLASE
d538,HYDROLASE
d539,OXIDOREDUCTASE
d540,NEUROTOXIN
d541,ONCOGENE PROTEIN
d542,RIBOSOMAL PROTEIN
d543,RNA
d544,GLYCOPROTEIN
d545,TRANSFERASE
d546,PERIPLASMIC BINDING PROTEIN
d547,TOXIN/ANTITOXIN
d548,TRANSFERASE/TRANSFERASE INHIBITOR
d549,GLYCOPROTEIN
d550,VIRAL PROTEIN
d551,PROTEIN BINDING
d552,OXIDOREDUCTASE
d553,METHIONINE-BINDING PROTEIN
d554,LYASE
d555,VIRAL PROTEIN
d556,RIBOSOME
d557,TRANSCRIPTION
d558,TRANSFERASE/TRANSFERASE INHIBITOR
d559,LIPID BINDING PROTEIN
d560,TRANSFERASE
d561,IMMUNE SYSTEM
d562,LYASE
d563,HYDROLASE
d564,TRANSFERASE
d565,RNA BINDING PROTEIN
d566,PHOTOSYNTHESIS
d567,PROTEIN TRANSPORT/TRANSCRIPTION/DNA
d568,HYDROLASE/TRANSPORT PROTEIN
d569,TRANSFERASE
d570,HYDROLASE
d571,HYDROLASE/HORMONE
d572,HYDROLASE
d573,GENE REGULATION
d574,OXIDOREDUCTASE
d575,Lyase/DNA
d576,Hydrolase/DNA
d577,LYASE
d578,SIGNALING PROTEIN
d579,HYDROLASE
d580,CHAPERONE
d581,RNA
d582,LYASE
d583,OXIDOREDUCTASE
d584,TRANSFERASE
d585,CALCIUM-BINDING PROTEIN
d586,FLUORESCENT PROTEIN
d587,HYDROLASE
d588,HYDROLASE
d589,OXIDOREDUCTASE
d590,LYASE
d591,REDUCTASE
d592,BIOTIN-BINDING PROTEIN
d593,TRANSPORT PROTEIN
d594,LIGASE
d595,OXIDOREDUCTASE
d596,ELECTRON TRANSPORT
d597,transferase/transferase inhibitor
d598,HORMONE
d599,SOLUTE-BINDING PROTEIN
d600,LYASE
d601,TOXIN
d602,SIGNALING PROTEIN
d603,APOPTOSIS
d604,HYDROLASE
d605,DE NOVO PROTEIN
d606,HYDROLASE
d607,HYDROLASE
d608,TRANSPORT PROTEIN
d609,TRANSFERASE
d610,OXYGEN BINDING
d611,METAL BINDING PROTEIN
d612,TRANSFERASE
d613,HYDROLASE
d614,OXIDOREDUCTASE
d615,HYDROLASE
d616,MEMBRANE PROTEIN
d617,HYDROLASE
d618,LIGASE
d619,VIRAL PROTEIN
d620,TRANSFERASE(GLUTATHIONE)
d621,TRANSFERASE
d622,OXIDOREDUCTASE
d623,TRANSFERASE/DNA
d624,SIGNALING PROTEIN/ANTAGONIST
d625,Transcription/DNA
d626,PROTEIN TRANSPORT
d627,TRANSFERASE
d628,LIGASE
d629,TRANSFERASE
d630,TRANSFERASE
d631,TRANSFERASE
d632,HYDROLASE
d633,HYDROLASE
d634,LYASE
d635,IMMUNOGLOBULIN-BINDING PROTEIN
d636,OXIDOREDUCTASE
d637,HYDROLASE/HYDROLASE INHIBITOR
d638,MEMBRANE PROTEIN
d639,MOTOR PROTEIN
d640,LIGASE/SIGNALING PROTEIN
d641,TRANSCRIPTION
d642,DNA
d643,SPLICING
d644,HYDROLASE
d645,HYDROLASE
d646,IMMUNE SYSTEM
d647,OXIDOREDUCTASE
d648,CARBOHYDRATE
d649,HYDROLASE
d650,LYASE
d651,LIGASE
d652,Contractile Protein/Actin-Binding Protein
d653,HYDROLASE (O-GLYCOSYL)
d654,TRANSFERASE/TRANSFERASE INHIBITOR
d655,CELL CYCLE
d656,LIGASE
d657,RNA
d658,TRANSFERASE
d659,HYDROLASE inhibitor
d660,LECTIN
d661,IMMUNE SYSTEM
d662,transferase/transferase inhibitor
d663,HYDROLASE
d664,PROTEASE INHIBITOR
d665,HYDROLASE
d666,VIRAL PROTEIN
d667,ELECTRON TRANSPORT
d668,TRANSFERASE/TRANSFERASE inhibitor
d669,SIGNALING PROTEIN
d670,ISOMERASE
d671,TRANSFERASE/TRANSFERASE INHIBITOR
d672,RIBOSOME
d673,HYDROLASE
d674,MOTOR PROTEIN
d675,PROTEIN BINDING
d676,LIPID BINDING PROTEIN
d677,HYDROLASE
d678,STRUCTURAL GENOMICS
d679,HYDROLASE
d680,HYDROLASE/HYDROLASE INHIBITOR
d681,TRANSPORT PROTEIN
d682,TRANSFERASE
d683,HYDROLASE
d684,HYDROLASE
d685,STRUCTURAL PROTEIN
d686,HYDROLASE
d687,TRANSCRIPTION
d688,RIBOSOME
d689,TRANSPORT PROTEIN
d690,HYDROLASE
d691,OXIDOREDUCTASE
d692,Peptide binding protein
d693,TRANSFERASE
d694,DNA
d695,PHOTOSYNTHESIS
d696,RNA
d697,MEMBRANE PROTEIN
d698,METAL BINDING PROTEIN
d699,TRANSFERASE
d700,CELL ADHESION
d701,ELECTRON TRANSPORT
d702,APOPTOSIS
d703,ISOMERASE
d704,OXIDOREDUCTASE
d705,PROTEIN BINDING
d706,HYDROLASE
d707,ELECTRON TRANSPORT
d708,TOXIN
d709,HYDROLASE/HYDROLASE INHIBITOR
d710,ISOMERASE
d711,OXIDOREDUCTASE
d712,LYASE
d713,IMMUNE SYSTEM
d714,PROTEIN BINDING
d715,HYDROLASE
d716,NUCLEAR RECEPTOR
d717,OXIDOREDUCTASE
d718,HORMONE RECEPTOR
d719,VIRAL PROTEIN
d720,Oxidoreductase/Oxidoreductase inhibitor
d721,RNA
d722,LYASE
d723,IMMUNE SYSTEM
d724,OXIDOREDUCTASE
d725,LYASE
d726,IMMUNE SYSTEM
d727,HYDROLASE
d728,HYDROLASE/HYDROLASE INHIBITOR
d729,FLAVOPROTEIN
d730,TRANSFERASE
d731,OXIDOREDUCTASE/OXIDOREDUCTASE INHIBITOR
d732,VIRAL PROTEIN
d733,TRANSFERASE
d734,BINDING PROTEIN
d735,HYDROLASE/HYDROLASE INHIBITOR
d736,IMMUNE SYSTEM
d737,STRUCTURAL PROTEIN
d738,OXIDOREDUCTASE
d739,IMMUNE SYSTEM
d740,VIRUS CAPSID PROTEIN
d741,TRANSFERASE
d742,Steroid-Binding Protein
d743,HYDROLASE
d744,DNA
d745,hormone receptor
d746,DNA-RNA HYBRID
d747,TRANSCRIPTION
d748,OXYGEN TRANSPORT
d749,HYDROLASE
d750,KINASE
d751,TRANSFERASE/TRANSFERASE INHIBITOR
d752,CELL ADHESION
d753,OXIDOREDUCTASE
d754,MEMBRANE PROTEIN
d755,HYDROLASE
d756,ISOMERASE
d757,FLAVOENZYME
d758,OXIDOREDUCTASE/ELECTRON TRANSPORT
d759,RNA Binding Protein/RNA
d760,COAT PROTEIN (VIRAL)
d761,STRUCTURAL PROTEIN
d762,IMMUNE SYSTEM
d763,VIRAL PROTEIN/IMMUNE SYSTEM/INHIBITOR
d764,HYDROLASE
d765,HYDROLASE
d766,HYDROLASE
d767,HYDROLASE
d768,HYDROLASE
d769,TRANSFERASE
d770,HYDROLASE (O-GLYCOSYL)
d771,HYDROLASE/HYDROLASE INHIBITOR
d772,LYASE
d773,OXIDOREDUCTASE
d774,HYDROLASE
d775,Virus/RNA
d776,PROTEIN TRANSPORT
d777,TRANSFERASE
d778,VIRAL PROTEIN
d779,OXIDOREDUCTASE
d780,GROWTH FACTOR
d781,HYDROLASE
d782,HORMONE
d783,TRANSFERASE
d784,TRANSFERASE
d785,TOXIN
d786,HYDROLASE
d787,OXIDOREDUCTASE
d788,TRANSCRIPTION/DNA
d789,STRUCTURAL GENOMICS
d790,OXYGEN TRANSPORT
d791,TRANSFERASE
d792,TRANSFERASE
d793,TRANSFERASE
d794,HYDROLASE
d795,FLAVOENZYME
d796,ISOMERASE/DNA
d797,TRANSFERASE
d798,TRANSFERASE
d799,RIBOSOME
d800,LYASE
d801,OXIDOREDUCTASE
d802,HYDROLASE
d803,SIGNALING PROTEIN
d804,TRANSCRIPTION REGULATOR
d805,UNKNOWN FUNCTION
d806,OXIDOREDUCTASE
d807,OXIDOREDUCTASE
d808,METAL BINDING PROTEIN
d809,Structural Genomics
d810,LYASE
d811,DNA
d812,OXIDOREDUCTASE/ELECTRON TRANSPORT
d813,OXIDOREDUCTASE(CHOH(D)-NAD(A))
d814,HYDROLASE
d815,TRANSFERASE
d816,FLUORESCENT PROTEIN
d817,TRANSFERASE
d818,TRANSFERASE
d819,HYDROLASE
d820,HYDROLASE
d821,SPLICING
d822,OXIDOREDUCTASE
d823,HYDROLASE
d824,PROTEIN BINDING
d825,ANTIMICROBIAL PROTEIN
d826,LIGASE
d827,HYDROLASE
d828,HYDROLASE/RNA/DNA
d829,OXIDOREDUCTASE
d830,POLYMERASE
d831,TRANSFERASE
d832,STRUCTURAL PROTEIN
d833,TRANSFERASE
d834,LYASE
d835,HYDROLASE
d836,VIRAL PROTEIN
d837,SIGNALING PROTEIN
d838,OXIDOREDUCTASE
d839,CHAPERONE
d840,PROTEIN TRANSPORT/Viral protein
d841,PHOTOSYNTHESIS
d842,OXYGEN TRANSPORT
d843,LYASE
d844,HORMONE/GROWTH FACTOR
d845,LIGASE
d846,HYDROLASE
d847,OXYGEN TRANSPORT
d848,Structural PROTEIN/DNA
d849,UNKNOWN FUNCTION
d850,VIRAL PROTEIN
d851,HYDROLASE
d852,PLANT PROTEIN
d853,TRANSPORT PROTEIN
d854,TRANSCRIPTION
d855,STRUCTURAL PROTEIN
d856,STRUCTURAL PROTEIN
d857,TRANSFERASE/TRANSFERASE INHIBITOR
d858,TRANSFERASE
d859,ALLERGEN
d860,HYDROLASE
d861,HYDROLASE
d862,HYDROLASE
d863,HYDROLASE (O-GLYCOSYL)
d864,OXIDOREDUCTASE
d865,TRANSPORT PROTEIN
d866,ELECTRON TRANSPORT
d867,HYDROLASE
d868,HYDROLASE
d869,RNA BINDING PROTEIN
d870,LYASE
d871,HYDROLASE
d872,METAL BINDING PROTEIN
d873,HYDROLASE
d874,TRANSFERASE/RNA
d875,MEMBRANE PROTEIN
d876,hydrolase/hydrolase inhibitor
d877,HYDROLASE
d878,ONCOPROTEIN
d879,OXIDOREDUCTASE
d880,TRANSFERASE
d881,BIOSYNTHETIC PROTEIN
d882,TRANSFERASE
d883,TOXIN
d884,OXIDOREDUCTASE
d885,CHAPERONE
d886,OXIDOREDUCTASE
d887,OXIDOREDUCTASE/OXIDOREDUCTASE INHIBITOR
d888,HYDROLASE
d889,LIGASE/LIGASE INHIBITOR
d890,SIGNALING PROTEIN
d891,OXIDOREDUCTASE
d892,HYDROLASE
d893,HYDROLASE
d894,HYDROLASE
d895,TRANSFERASE
d896,UNKNOWN FUNCTION
d897,ANTITOXIN
d898,OXIDOREDUCTASE
d899,TRANSFERASE
d900,HYDROLASE
d901,TRANSFERASE
d902,CELL ADHESION
d903,OXIDOREDUCTASE
d904,HYDROLASE
d905,TRANSFERASE/TRANSFERASE INHIBITOR
d906,TRANSCRIPTION
d907,OXIDOREDUCTASE/OXIDOREDUCTASE INHIBITOR
d908,TRANSFERASE/TRANSFERASE INHIBITOR
d909,FLUORESCENT PROTEIN
d910,OXIDOREDUCTASE
d911,LYASE
d912,structural genomics
d913,STRUCTURAL GENOMICS
d914,HYDROLASE
d915,ISOMERASE
d916,PROTEIN BINDING
d917,STRUCTURAL GENOMICS
d918,MEMBRANE PROTEIN
d919,HYDROLASE(PHOSPHORIC DIESTER)
d920,OXIDOREDUCTASE
d921,RNA/INHIBITOR
d922,LIGASE
d923,transferase/transferase inhibitor
d924,VIRUS/RNA
d925,OXIDOREDUCTASE
d926,HORMONE/GROWTH FACTOR/RECEPTOR
d927,PEPTIDE BINDING PROTEIN
d928,HYDROLASE
d929,TRANSFERASE
d930,TRANSFERASE
d931,APOPTOSIS
d932,LYASE
d933,OXIDOREDUCTASE
d934,IMMUNE SYSTEM
d935,TRANSFERASE
d936,DNA BINDING PROTEIN/DNA
d937,IMMUNE SYSTEM
d938,TRANSCRIPTION REGULATION
d939,Transferase/DNA
d940,OXIDOREDUCTASE/OXIDOREDUCTASE INHIBITOR
d941,OXYGEN STORAGE/TRANSPORT
d942,Transferase/Transferase inhibitor
d943,OXIDOREDUCTASE
d944,RIBOSOME
d945,TRANSFERASE
d946,HYDROLASE
d947,STRUCTURAL GENOMICS
d948,PROTEIN BINDING
d949,SUGAR BINDING PROTEIN
d950,ISOMERASE
d951,DNA BINDING PROTEIN
