structureId,experimentalTechnique,macromoleculeType,residueCount,resolution,structureMolecularWeight,crystallizationMethod,crystallizationTempK,densityMatthews,densityPercentSol,pdbxDetails,phValue,publicationYear,
1RH4,X-RAY DIFFRACTION,Protein,35,1.9,3817.81,,,2.5,52,100MM TRIS PH 8.1 0.3M NABR 20% 2-PROPANOL 20% POLYETHLENE GLYCOL 1450,8.1,1998,
2QHV,X-RAY DIFFRACTION,Protein,210,1.6,23372.01,"VAPOR DIFFUSION, HANGING DROP",298,2.48,50.47,"50mM HEPES at pH 7.0, 4.0M lithium chloride, 5%(v/v) PEG 8000, VAPOR DIFFUSION, HANGING DROP, temperature 298K",7,2008,
2OSF,X-RAY DIFFRACTION,Protein,259,1.6,29551.63,"VAPOR DIFFUSION, HANGING DROP",277,,,"Tris-HCl, sodium citrate, pH 7.8, VAPOR DIFFUSION, HANGING DROP, temperature 277K",7.8,2008,
2GRL,X-RAY DIFFRACTION,Protein,1275,3,149340.19,EVAPORATION,298,2.91,57.75,"LiCl, pH 5.6, EVAPORATION, temperature 298K",5.6,2006,
4MCQ,X-RAY DIFFRACTION,Protein,757,2,88672.48,"VAPOR DIFFUSION, HANGING DROP",293,3.11,60.46,"33% (v/v) pentaerythritol, propoxylate PO/OH 5/4, 0.5% (w/v) PEG 3350, 0.10 M Tris HCl, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K",8,2014,
3BHS,X-RAY DIFFRACTION,Protein,406,1.99,42518.46,"VAPOR DIFFUSION, HANGING DROP",298,2.91,57.74,"1:1 microliter drop ratio of (Protein in 0.02M HEPES pH 7.4, 0.1M NaCl, 0.04M B-octyl glucoside, 2mM Dithiothreitol) and (100mM HEPES, 25% PEG 400). Cryoprotected with 10% Glycerol, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",7,,
1JFI,X-RAY DIFFRACTION,Protein#DNA,500,2.62,63075.92,"VAPOR DIFFUSION, HANGING DROP",293,2.79,55.84,"PEG 4000, sodium citrate, potassium chloride, magnesium chloride, DTT, pH 5.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K",5.5,2001,
2K2X,SOLUTION NMR,Protein,75,,7945.1,,,,,,,2008,
 Sugar Binding Protein,1JV5,X-RAY DIFFRACTION,Protein,224,2.2,24686.37,"VAPOR DIFFUSION, HANGING DROP",300,2.54,51.5,"PEG 4000, HEPES, Calcium Chloride, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 300K",7,2002,
3FW3,X-RAY DIFFRACTION,Protein,532,1.72,61880.93,"VAPOR DIFFUSION, HANGING DROP",277,2.09,41.18,"25% PEG 3350, 0.1M Na Acetate, 0.20M Ammonium sulfate, 3% glucose., pH 4.4, VAPOR DIFFUSION, HANGING DROP, temperature 277K",4.4,2010,
4EW6,X-RAY DIFFRACTION,Protein,330,2.3,36596.45,"VAPOR DIFFUSION, SITTING DROP",291,2.46,50.02,"0.2M Sodium Acetate, 0.1M Tris HCl, 30% PEG 4000, pH 8.5, VAPOR DIFFUSION, SITTING DROP, temperature 291K",8.5,,
1FDV,X-RAY DIFFRACTION,Protein,1308,3.1,142833.8,,,3.96,69,"PROTEIN WAS CRYSTALLIZED FROM 2 M AMMONIUM SULFATE, 100 MM SODIUM PHOSPHATE BUFFER PH 6.3, 1 MM NAD+, 100 MM NACL; THEN SOAKED IN 27 % GLYCEROL, 2.3 M AMMONIUM SULFATE, 100 MM SODIUM PHOSPHATE BUFFER PH 6.1, 80 MM NACL, 1 MM NAD+",6.3,1998,
5P3V,X-RAY DIFFRACTION,Protein,330,1.47,33813.86,"VAPOR DIFFUSION, SITTING DROP",290,2.43,49.44,"0.1 M ammonium acetate, 0.1 M sodium acetate, 24-30% PEG 4000; crystal obtained by streak-seeding and soaked with 90 mM of fragment 184 with the SMILES code CC1=C(SC2=NC(=NC(C)=C12)C1CC1)C(O)=O",4.6,2016,
3GF0,X-RAY DIFFRACTION,Protein,204,2.62,23734.05,"VAPOR DIFFUSION, HANGING DROP",298,4.48,72.57,"20% PEG3350, 0.2M TRIPOTASSIUM CITRATE           , pH 8.30, VAPOR DIFFUSION, HANGING DROP, temperature 298K",8.3,,
3P6P,X-RAY DIFFRACTION,Protein,414,1.9,47717.13,sitting-drop vapor diffusion,279,2.41,48.96,"12-22% PEG 8000, 0.1M Sodium cacodylate, pH 6.5, 0.1-0.2M KCl, sitting-drop vapor diffusion, temperature 279K",6.5,,
2MY8,SOLUTION NMR,Protein,97,,10930.55,,,,,,,,
3UX1,X-RAY DIFFRACTION,Protein,518,2.8,3508464.75,"VAPOR DIFFUSION, HANGING DROP",298,3.27,62.4,"virus concentration of ~5 mg/ml in 30 mM HEPES, pH 7.3, with 30 mM MgCl, 100 mM NaCl, 200 mM (NH4)2SO4, 5% PEG6000, and 25% glycerol, VAPOR DIFFUSION, HANGING DROP, temperature 298K",7.3,2012,
4E7C,X-RAY DIFFRACTION,Protein,1676,2.1,181384.98,"VAPOR DIFFUSION, HANGING DROP",291,2.44,49.63,"20 mg/mL MurA, 5 mM UTP, 25 mM HEPES, pH 7.5, 0.1 M ammonium sulfate, 50 mM Bis-Tris, pH 5.5, 12.5% PEG3350, VAPOR DIFFUSION, HANGING DROP, temperature 291K",7.5,,
4Z68,X-RAY DIFFRACTION,Protein,167,1.86,18533.68,"VAPOR DIFFUSION, HANGING DROP",291,1.9,35.22,"ammonium sulfate, isopropanol",,2016,
3HSY,X-RAY DIFFRACTION,Protein,752,1.75,86479.27,"VAPOR DIFFUSION, SITTING DROP",293,2.3,46.63,"200mM ammonium phosphatre, 20% PEG3350, pH4.8, VAPOR DIFFUSION, SITTING DROP, temperature 293K",4.8,2011,
4XA6,X-RAY DIFFRACTION,Protein,700,3.42,84885.84,"VAPOR DIFFUSION, HANGING DROP",298,3.7,67,"18% (w/v) polyethylene glycol 2000 methyl ether, 100 mM piperazine-N,N-bis(2-ethanesulfonic acid) (PIPES)",6.4,2015,
3PRS,X-RAY DIFFRACTION,Protein,330,1.38,35093.48,"VAPOR DIFFUSION, SITTING DROP",289,2.41,49,"0.1M NH4Ac, 0.1M Acetate-Buffer, 26% PEG 4000, pH 4.6, VAPOR DIFFUSION, SITTING DROP, temperature 289K",4.6,2012,
5BZU,X-RAY DIFFRACTION,Protein#RNA,411,2.5,48803.52,"VAPOR DIFFUSION, HANGING DROP",293,2.85,56.85,"PEG3350, CBTP",7.6,2015,
2K71,SOLUTION NMR,DNA,8,,2460.64,,,,,,,2009,
3G5U,X-RAY DIFFRACTION,Protein,2568,3.8,286138.78,"VAPOR DIFFUSION, SITTING DROP",278,3.76,67.27,"17% PEG 350mme, 0.05M tris, 0.04% sodium cholate, pH 7.5, VAPOR DIFFUSION, SITTING DROP, temperature 278K",7.5,2009,
3S1H,X-RAY DIFFRACTION,Protein,306,1.75,35165.81,"VAPOR DIFFUSION, HANGING DROP",291,2.03,39.34,"5 mg/mL CDK2 protein, 3 mM inhibitor, 15% v/v PEG3350, 50 mM HEPES/NaOH, 50 mM Na/K phosphate, pH 7.5, VAPOR DIFFUSION, HANGING DROP, temperature 291K",7.5,2013,
2V38,X-RAY DIFFRACTION,Protein,305,1.5,34883.82,,,2.2,43,10 MG/ML PROTEIN. 1.5-1.8 M AMMONIUM SULPHATE. 25% GLYCEROL AS CRYO.,,,
4QYN,X-RAY DIFFRACTION,Protein,266,1.19,31826.85,EVAPORATION,298,2.24,45.1,"30% PEG 4000, 0.1 M sodium acetate, 0.1 M ammonium acetate , pH 4.6, EVAPORATION, temperature 298K",4.6,2014,
3LLJ,X-RAY DIFFRACTION,,126,1.1,14004.07,"VAPOR DIFFUSION, HANGING DROP",281,2.04,39.83,"25% PEG 8000, 0.1M cacodylate, pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 281K",6.5,2010,
3RJ3,X-RAY DIFFRACTION,Protein,1338,2.35,151101.31,"VAPOR DIFFUSION, HANGING DROP",290,2.84,56.65,"4% w/v PEG 8000, 0.1 M Tris HCl, pH 8.8, VAPOR DIFFUSION, HANGING DROP, temperature 290K",,2012,
2GVJ,X-RAY DIFFRACTION,Protein,982,2.1,112254.26,"VAPOR DIFFUSION, SITTING DROP",295,2.39,48.59,"26% PEG 3350, 200 mM NaCL,   BaCl2 as Additive, pH 9.2, VAPOR DIFFUSION, SITTING DROP, temperature 295K",9.2,2006,
4HT8,X-RAY DIFFRACTION,Protein#RNA,404,1.9,48472.29,"VAPOR DIFFUSION, HANGING DROP",283,2.16,43.02,"200 mM NH4Ac, 100 Tris, 26% 2-propanol, pH 7.9, VAPOR DIFFUSION, HANGING DROP, temperature 283K",7.9,2013,
5A6A,X-RAY DIFFRACTION,Protein,1298,2.69,148863.61,,,1.84,33.21,"12% (W/V) PEG 3350, 0.2 M MAGNESIUM CHLORIDE, 0.05 M CAPS, PH 10.2, 1%GLYCEROL",10.2,2015,
4ROX,X-RAY DIFFRACTION,Protein,610,1.89,67735.65,"VAPOR DIFFUSION, HANGING DROP",291,2.56,51.87,"0.2 M KCl, 20% w/v PEG 3350, 2ul drops with 1:1  protein:precipitant ratio, VAPOR DIFFUSION, HANGING DROP, temperature 291K, vapor diffusion, hanging drop",,2016,
3RAA,X-RAY DIFFRACTION,Protein,519,3.2,588755.88,"VAPOR DIFFUSION, HANGING DROP",293,,,"20 mM Tris pH 7.5, 4% PEG 4000, 1 M NaCl. Crystals were pre-soaked at pH 4 for 24 hours and transferred back to pH7.5 before data collection, VAPOR DIFFUSION, HANGING DROP, temperature 293K",7.5,2011,
3ZCO,X-RAY DIFFRACTION,Protein,141,2.7,15916.7,,,2.5,51,"30% PEG 4000, 0.2 M AMMONIUM ACETATE, 0.1 M SODIUM CITRATE PH 5.6",,2013,
5MMJ,ELECTRON MICROSCOPY,Protein#RNA,5935,3.6,982335.62,,,,,,,2017,
4OIZ,X-RAY DIFFRACTION,Protein,565,3.4,63874.43,"VAPOR DIFFUSION, HANGING DROP",298,3.05,59.64,"2.0M ammonium citrate tribasic, 0.1M bis-tris propane, 60mM methyl-alpha-mannose, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",7,2014,
2HQZ,X-RAY DIFFRACTION,Protein,236,1.2,27390.38,"VAPOR DIFFUSION, HANGING DROP",298,2.12,41.9,"19% PEG 4K, 50 mM MgCl2, 50 mM Hepes, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",8,,
5T7P,X-RAY DIFFRACTION,Protein,472,2.16,53046.52,"VAPOR DIFFUSION, HANGING DROP",298,2.37,48.03,"100 mM HEPES pH 6.8, 20% PEG 8000, 200 mM Magnesium acetate tetrahydrate",,2017,
1NAT,X-RAY DIFFRACTION,Protein,124,2.45,14244.66,,,2.56,50,pH 7.8,7.8,1997,
4WLW,X-RAY DIFFRACTION,Protein#DNA,181,2.8,29628.83,"VAPOR DIFFUSION, HANGING DROP",296,2.29,46.17,"0.1M IMIDAZOLE, PH 8.0, 0.2M CA(C2H3O2)2  AND 8% PEG8000, VAPOR DIFFUSION, HANGING DROP  TEMPERATURE 296K",8,2015,
1FG6,X-RAY DIFFRACTION,Protein,198,1.8,22254.3,"VAPOR DIFFUSION, HANGING DROP",298,2.54,51.56,"CITRATE/PHOSPHATE BUFFER 0.05M, DTT 10MM,  DMSO 10%, SATURATED AMMONIUM SULPHAT25-50%, PROTEIN 2-5 MG/ML, pH 5.0-6.5. VAPOR DIFFUSION, HANGING DROP at 298K",,2001,
2Z2G,SOLUTION NMR,DNA,24,,7526,,,,,,,2007,
1R8Q,X-RAY DIFFRACTION,Protein,768,1.86,90041.85,"VAPOR DIFFUSION, HANGING DROP",289,2.54,51.56,"19% Peg 3350, 175mM NH4 Fluoride, 100mM cacodylate, pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 289K",6.5,2003,
3GH4,X-RAY DIFFRACTION,Protein,525,1.8,57722.22,"VAPOR DIFFUSION, HANGING DROP",293,2.28,46.02,"Na-Acetate, PEG2000, pH 4.6, VAPOR DIFFUSION, HANGING DROP, temperature 293K",4.6,2009,
1KAF,X-RAY DIFFRACTION,Protein,648,1.6,75231.35,"VAPOR DIFFUSION, HANGING DROP",298,2.06,40.39,"from 19% PEG 8000, 35 mM potassium phosphate pH 5.0, 3% glycerol, pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 298K",6.5,2002,
1MRB,SOLUTION NMR,Protein,31,,3473.33,,,,,,,1988,
4NQS,X-RAY DIFFRACTION,Protein,988,2.64,113173.82,"VAPOR DIFFUSION, HANGING DROP",291,2.37,48.12,"20% PEG2000 MME, 10% 2-propanol, 0.1 M MES, pH 6.5, VAPOR DIFFUSION, HANGING DROP, temperature 291K",6.5,2014,
3W55,X-RAY DIFFRACTION,Protein,368,3,42593.81,"VAPOR DIFFUSION, SITTING DROP",277,2.24,44.97,"PEG 5000, AMMONIUM SULPHATE, DITHIOTHREITOL, pH 6.5, VAPOR DIFFUSION, SITTING DROP, temperature 277K",6.5,2007,
3B12,X-RAY DIFFRACTION,Protein,608,1.2,68451.66,"VAPOR DIFFUSION, HANGING DROP",277,2.28,45.95,"20%(w/v) PEG 8000, 100mM Tris-HCl buffer pH 8.5, 40mM MgCl2, 100mM fluoroacetate , VAPOR DIFFUSION, HANGING DROP, temperature 277K",8.5,2012,
4JCE,X-RAY DIFFRACTION,Protein,1360,1.9,151594.47,"VAPOR DIFFUSION, SITTING DROP",293,2.87,57.14,"0.1 M HEPES, 0.2 M KSCN, 12% PEG 3350, pH 7.5, VAPOR DIFFUSION, SITTING DROP, temperature 293K",7.5,2013,
4E+032,X-RAY DIFFRACTION,Protein,416,1.5,47194.2,"VAPOR DIFFUSION, HANGING DROP",298,2.36,47.83,"1.2-1.6 M sodium/potassium phosphate, 10 mM dTMP, 5 mM S-adenosyl-L-homocysteine, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",8,2012,
5E2K,X-RAY DIFFRACTION,Protein,257,1.4,29586.75,"VAPOR DIFFUSION, SITTING DROP",296,2.12,41.9,"1.5 M sodium citrate, Tris 50 mM",8,2016,
4H55,X-RAY DIFFRACTION,Protein,237,2.15,25940.69,"VAPOR DIFFUSION, HANGING DROP",293,2.26,45.5,"1.8 M ammonium sulfate, 0.2 M sodium chloride, 0.1 M HEPES, pH 8.5, VAPOR DIFFUSION, HANGING DROP, temperature 293.0K",8.5,,
5UFL,X-RAY DIFFRACTION,Protein,1122,3,124715.66,"VAPOR DIFFUSION, HANGING DROP",298,2.87,57.12,"0.1M Sodium malonate pH6.0, 7% PEG 4000, 1% PEG8000",,2017,
1H2G,X-RAY DIFFRACTION,Protein,766,2,86522.66,,,2.4,48.9,"50MM MOPS PH 7.2, 12% MME PEG2K, STREAK-SEEDING",7.2,2003,
3ATY,X-RAY DIFFRACTION,Protein,758,1.7,85538.36,"VAPOR DIFFUSION, HANGING DROP",293,2.06,40.33,"PEG 1500, Ammonium fluoride, urea, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K",7,2011,
1W85,X-RAY DIFFRACTION,Protein,2866,2,319847.69,,,2.21,44.02,"10% PEG 5500 MONOMETHYL ETHER, 0.2M IMIDAZOLE MALATE PH5. 20DEG C, SITTING-DROP., pH 5.00",5,2004,
4F1G,X-RAY DIFFRACTION,Protein,102,1.64,11837.03,"VAPOR DIFFUSION, HANGING DROP",291,1.88,34.72,"2 uL 0.1 M sodium phosphate, pH 5.5, 10% w/v PEG6000 + 2 uL 100 U/mL human insulin (Humulin R, lot # A 560347), cryoprotectant: mother liquor + 10% glycerol, VAPOR DIFFUSION, HANGING DROP, temperature 291K",5.5,2013,
1H1C,X-RAY DIFFRACTION,Protein,1340,2.85,160080.55,,,2.53,51,pH 7.00,7,2004,
1ELQ,X-RAY DIFFRACTION,Protein,780,1.8,86265.63,"VAPOR DIFFUSION, HANGING DROP",293,2.02,39.24,"PEG8000, ammonium sulphate, phosphate, citrate, barium chloride, pH 6.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K",6,2000,
2H5M,SOLUTION NMR,Protein,102,,12441.45,,,,,,,2008,
4HQ0,X-RAY DIFFRACTION,Protein,544,3,62026.61,"VAPOR DIFFUSION, HANGING DROP",293,3.42,63.99,"sodium acetate pH 4.6, sodium formate, VAPOR DIFFUSION, HANGING DROP, temperature 293K",4.6,2013,
1RHS,X-RAY DIFFRACTION,Protein,296,1.36,33240.67,,,2.43,49,pH 7.6,7.6,1998,
2LGW,SOLUTION NMR,Protein,99,,11297.48,,,,,,,2012,
4F74,X-RAY DIFFRACTION,Protein,203,2.2,22213.15,"VAPOR DIFFUSION, HANGING DROP",295,2.05,39.88,"126mM Phosphate buffer pH 6.2, 63mM Sodium Citrate, 24-31% Ammonium Sulfate, hanging drop, vapor diffusion, temperature 295K, VAPOR DIFFUSION, HANGING DROP",6.2,,
3QGL,X-RAY DIFFRACTION,Protein,535,3.31,56243.3,"VAPOR DIFFUSION, HANGING DROP",298,2.93,58.02,"4.0 M sodium formate, pH 7.0, VAPOR DIFFUSION, HANGING DROP, temperature 298K",7,2011,
1RE3,X-RAY DIFFRACTION,Protein,1388,2.45,159742.72,"VAPOR DIFFUSION, SITTING DROP",277,2.91,57.78,"9% PEG 3350, 12.5 mM calcium chloride, 2 mM sodium azide, 50 mM Tris pH 8.5, , VAPOR DIFFUSION, SITTING DROP, temperature 277K",8.5,2004,
3KRO,X-RAY DIFFRACTION,Protein,1138,1.95,124499.55,VAPOR DIFFUSION,295,2.15,42.66,"100mM Bis-Tris, 200mM ammonium acetate, 20% PEG 3350, pH 6.5, vapor diffusion, temperature 295K",6.5,2010,
5O1K,X-RAY DIFFRACTION,Protein,148,2.05,18310.36,"VAPOR DIFFUSION, HANGING DROP",293,2.65,53.51,"1.6 M ammonium sulfate, 0.1 M MES, 10 % dioxane",6.5,2017,
3TRH,X-RAY DIFFRACTION,Protein,2704,2.2,283387.53,"VAPOR DIFFUSION, SITTING DROP",295,2.26,45.65,"0.2M ammonium formate, 14% PEG 3350, pH 7.5, VAPOR DIFFUSION, SITTING DROP, temperature 295K",7.5,2015,
2MN2,SOLUTION NMR,Protein,133,,15514.28,,,,,,,2016,
3EIH,X-RAY DIFFRACTION,Protein,1020,3.25,113273.77,"VAPOR DIFFUSION, SITTING DROP",296,3.22,61.86,"48 % Ethylene glycol, 0.1M Bis-Tris, pH 5.0, VAPOR DIFFUSION, SITTING DROP, temperature 296K",5,2008,
2LSW,SOLUTION NMR,Protein,40,,4405.17,,,,,,,2012,
4EZ2,X-RAY DIFFRACTION,DNA,20,1.6,6165,"VAPOR DIFFUSION, HANGING DROP",293,2.24,45.02,"50mM sodium cacodylate trihydrate buffer (pH 7.0), 10mM MnCl2, 1mM spermine, 50% methyl pentane diol, VAPOR DIFFUSION, HANGING DROP, temperature 293K",7,2012,
3LF4,X-RAY DIFFRACTION,Protein,230,1.81,26337.65,"VAPOR DIFFUSION, HANGING DROP",293,2.92,57.89,"0.1M Citric Acid, 1.0M LiCl, 20% w/v PEG 6000, pH 5.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K",5,2010,
1IMO,SOLUTION NMR,Protein,88,,9985.42,,,,,,,2001,
3HQ8,X-RAY DIFFRACTION,Protein,690,2.4,76626.91,,,2.43,49.47,,,2009,
5C8A,X-RAY DIFFRACTION,Protein,824,2.15,94888.66,"VAPOR DIFFUSION, SITTING DROP",298,1.95,36.86,"20% PEG 3350, 0.2 M KCl",,2015,
4MOT,X-RAY DIFFRACTION,Protein,226,1.75,24998.22,"VAPOR DIFFUSION, HANGING DROP",293,2.16,42.99,"18-25% Peg4000, 0.2M Ammonium Acetate, 0.1M MIB, pH 7.0, inhibitor soak, VAPOR DIFFUSION, HANGING DROP, temperature 293K",7,2014,
1R9C,X-RAY DIFFRACTION,Protein,278,1.83,32520.59,"VAPOR DIFFUSION, HANGING DROP",295,1.95,36.96,"PEG8000, Tris, Li2SO4, MnCl2, pH 8.5, VAPOR DIFFUSION, HANGING DROP, temperature 295K",8.5,2003,
3NNT,X-RAY DIFFRACTION,Protein,552,1.6,60586.95,"VAPOR DIFFUSION, SITTING DROP",295,1.96,37.26,"Protein solution: 7.5 mG/mL,  0.25M Sodium chloride, 0.01M Tris pH 8.3, 2mM 3-Dehydroquinic acid (DHR);  Screen solution: Classics F9, 0.05M Potassium phosphate, 20%(w/v) PEG 8000., VAPOR DIFFUSION, SITTING DROP, temperature 295K",3,2011,
2NZ6,X-RAY DIFFRACTION,Protein,316,2.3,37290.44,"VAPOR DIFFUSION, SITTING DROP",293,2.43,49.42,"0.01M NiCl2, 0.1M TRIS, pH 8.5, 1M Li2SO4, VAPOR DIFFUSION, SITTING DROP, temperature 293K",8.5,2009,
3WDX,X-RAY DIFFRACTION,Protein,596,1.9,66494.16,"VAPOR DIFFUSION, SITTING DROP",298,2.77,55.65,"0.2M ammonium sulfate, 0.1M sodium cacodylate, 34%(w/v) PEG8000, pH 6.5, VAPOR DIFFUSION, SITTING DROP, temperature 298K",6.5,2014,
1LFA,X-RAY DIFFRACTION,Protein,374,1.8,42827.77,,,2.28,45.96,pH 5.2,5.2,1995,
1CLZ,X-RAY DIFFRACTION,Protein,437,2.8,48908.61,,,2.6,52,pH 7.8,7.8,1995,
3AUJ,X-RAY DIFFRACTION,Protein,1902,2.1,210991.89,VAPOR DIFFUSION,277,3.49,64.74,"14-18%(W/V) PEG 6000, 0.23-0.25M AMMONIUM SULFATE, 0.02M TRIS-HCL, 0.2%(W/V) LDAO, pH 8.0, VAPOR DIFFUSION, temperature 277K",8,2012,
5CII,X-RAY DIFFRACTION,,808,2.1,99038.95,"VAPOR DIFFUSION, SITTING DROP",293,2.24,45.11,"Crystallization conditions: 10% PEG 3350, 0.1 M Tris-HCl/HEPES pH 8.64. 1:1 ratio of precipitant solution to protein, with a protein concentration of 5.0 mg/mL. There was a 1.5 M NaCl alternative reservoir.",8.64,,
1K40,X-RAY DIFFRACTION,Protein,126,2.25,14006.39,VAPOR DIFFUSION,295,2.21,44.4,"PEG10k, HEPES, pH 7.0, VAPOR DIFFUSION, temperature 295K",7,2002,
3B2B,X-RAY DIFFRACTION,,394,1.68,43388.34,"VAPOR DIFFUSION, HANGING DROP",293,2.15,42.77,"25% w/v PEG 3350, 0.2M NaCl, 0.1M Bis-Tris, 2% w/v Hexandiol, pH 5.5, VAPOR DIFFUSION, HANGING DROP, temperature 293K",5.5,,
1LDQ,X-RAY DIFFRACTION,Protein,256,2.7,29659.25,"VAPOR DIFFUSION, HANGING DROP",293,2.14,42.55,"12% PEG 1000, 0,1M immidazole malate, pH 5.8, VAPOR DIFFUSION, HANGING DROP, temperature 293K",5.8,2002,
5O7R,X-RAY DIFFRACTION,Protein,192,2.06,22755.87,"VAPOR DIFFUSION, HANGING DROP",293,2.14,42.58,"25% PEG3350, 0.1 M Bis/Tris pH 6.5, 0.2 M (NH4)2SO4",,2017,
4WD6,X-RAY DIFFRACTION,Protein,466,2.2,51739.1,"VAPOR DIFFUSION, SITTING DROP",293,1.91,35.68,"20% polyethylene glycol (PEG) 550 monomethyl ether (MME), 10% PEG 20000, 50 mM HEPES / 50 mM MOPS pH 7.5",7.5,,
3K6X,X-RAY DIFFRACTION,Protein,708,2.25,79408.7,"VAPOR DIFFUSION, HANGING DROP",293,2.42,49.23,"2.4M ammonium sulfate, 4% (v/v) isopropanol with final concentration of sodium molybdate at 125 mM in the drop, pH 8.0, VAPOR DIFFUSION, HANGING DROP, temperature 293K",8,2010,
3HQB,X-RAY DIFFRACTION,Protein,146,3.3,16323.15,"VAPOR DIFFUSION, HANGING DROP",298,2.56,51.95,"2.4 M sodium chloride, pH 4.8, VAPOR DIFFUSION, HANGING DROP, temperature 298K",4.8,2010,
5L21,X-RAY DIFFRACTION,Protein,547,1.68,63204.32,"VAPOR DIFFUSION, HANGING DROP",291,2.65,53.65,"18% polyethylene glycol 6,000; 100 mM Sodium Acetate, pH 5.0",,,
5P8Z,X-RAY DIFFRACTION,Protein,221,1.42,25681.63,"VAPOR DIFFUSION, SITTING DROP",295,2.22,44.63,"AMMONIUM SULPHATE, CHES, PH 9",9,,
2F68,X-RAY DIFFRACTION,Protein,313,1.95,34388.71,"VAPOR DIFFUSION, HANGING DROP",320,2.56,52.02,"3.2 M Ammonium Sulfate, 0.1 M NaCl, 0.05 M Hepes, PH. 7.2, VAPOR DIFFUSION, HANGING DROP, temperature 320K",7.2,2005,
2ICX,X-RAY DIFFRACTION,Protein,938,1.85,104554.59,,,,,,,2007,
